name,category,top,psf1,psf2,notes,link
NEWTON ONE,,,0,2261,some notes,https://share.ecoprop.com/NEWTON-ONE/R065963D
NOUVEL 18,,,0,3082,some notes,https://share.ecoprop.com/NOUVEL-18/R065963D
NV RESIDENCES,,,1233,1101,some notes,https://share.ecoprop.com/NV-RESIDENCES/R065963D
OASIS @ ELIAS,,,0,1033,some notes,https://share.ecoprop.com/OASIS-ELIAS/R065963D
OASIS GARDEN,,,0,1503,some notes,https://share.ecoprop.com/OASIS-GARDEN/R065963D
OCEAN PARK,,,0,1740,some notes,https://share.ecoprop.com/OCEAN-PARK/R065963D
ONE AMBER,,,2390,2141,some notes,https://share.ecoprop.com/ONE-AMBER/R065963D
ONE DEVONSHIRE,,,0,2608,some notes,https://share.ecoprop.com/ONE-DEVONSHIRE/R065963D
ONE JERVOIS,,,0,2198,some notes,https://share.ecoprop.com/ONE-JERVOIS/R065963D
OPTIMA @ TANAH MERAH,,,1457,1392,some notes,https://share.ecoprop.com/OPTIMA-TANAH-MERAH/R065963D
ORANGE GROVE RESIDENCES,,,0,2287,some notes,https://share.ecoprop.com/ORANGE-GROVE-RESIDENCES/R065963D
ORCHID PARK CONDOMINIUM,,,0,894,some notes,https://share.ecoprop.com/ORCHID-PARK-CONDOMINIUM/R065963D
OUE TWIN PEAKS,,,2103,0,some notes,https://share.ecoprop.com/OUE-TWIN-PEAKS/R065963D
PALISADES,,,0,1049,some notes,https://share.ecoprop.com/PALISADES/R065963D
PALM GARDENS,,,0,987,some notes,https://share.ecoprop.com/PALM-GARDENS/R065963D
PALM GROVE CONDOMINIUM,,,1327,1429,some notes,https://share.ecoprop.com/PALM-GROVE-CONDOMINIUM/R065963D
PALM ISLES,,,1287,0,some notes,https://share.ecoprop.com/PALM-ISLES/R065963D
PALM SPRING,,,0,2000,some notes,https://share.ecoprop.com/PALM-SPRING/R065963D
PALMWOODS,,,0,1006,some notes,https://share.ecoprop.com/PALMWOODS/R065963D
PANDAN VALLEY,,,0,1441,some notes,https://share.ecoprop.com/PANDAN-VALLEY/R065963D
PARC BOTANNIA,,,1568,0,some notes,https://share.ecoprop.com/PARC-BOTANNIA/R065963D
PARC CENTROS,,,1474,1485,some notes,https://share.ecoprop.com/PARC-CENTROS/R065963D
PARC IMPERIAL,,,1845,0,some notes,https://share.ecoprop.com/PARC-IMPERIAL/R065963D
PARC OASIS,,,0,1065,some notes,https://share.ecoprop.com/PARC-OASIS/R065963D
PARC OLYMPIA,,,1142,1126,some notes,https://share.ecoprop.com/PARC-OLYMPIA/R065963D
PARC RIVIERA,,,1602,1620,some notes,https://share.ecoprop.com/PARC-RIVIERA/R065963D
PARC ROSEWOOD,,,1314,882,some notes,https://share.ecoprop.com/PARC-ROSEWOOD/R065963D
PARC STEVENS,,,0,2265,some notes,https://share.ecoprop.com/PARC-STEVENS/R065963D
PARC VERA,,,0,1282,some notes,https://share.ecoprop.com/PARC-VERA/R065963D
PARC VISTA,,,0,1124,some notes,https://share.ecoprop.com/PARC-VISTA/R065963D
PARK COLONIAL,,,2106,2115,some notes,https://share.ecoprop.com/PARK-COLONIAL/R065963D
PARK INFINIA AT WEE NAM,,,0,2428,some notes,https://share.ecoprop.com/PARK-INFINIA-AT-WEE-NAM/R065963D
PARVIS,,,2280,2116,some notes,https://share.ecoprop.com/PARVIS/R065963D
PATERSON SUITES,,,0,2787,some notes,https://share.ecoprop.com/PATERSON-SUITES/R065963D
PAVILION 11,,,0,2053,some notes,https://share.ecoprop.com/PAVILION-11/R065963D
PEAK RESIDENCE,,,2547,2484,some notes,https://share.ecoprop.com/PEAK-RESIDENCE/R065963D
PINE GROVE,,,0,1028,some notes,https://share.ecoprop.com/PINE-GROVE/R065963D
POLLEN & BLEU,,,2155,0,some notes,https://share.ecoprop.com/POLLEN-&-BLEU/R065963D
PRINCIPAL GARDEN,,,1971,2268,some notes,https://share.ecoprop.com/PRINCIPAL-GARDEN/R065963D
Q BAY RESIDENCES,,,1366,1314,some notes,https://share.ecoprop.com/Q-BAY-RESIDENCES/R065963D
QUEENS,,,0,1552,some notes,https://share.ecoprop.com/QUEENS/R065963D
QUEENS PEAK,,,2064,0,some notes,https://share.ecoprop.com/QUEENS-PEAK/R065963D
REFLECTIONS AT KEPPEL BAY,,,0,1972,some notes,https://share.ecoprop.com/REFLECTIONS-AT-KEPPEL-BAY/R065963D
REGENT HEIGHTS,,,0,998,some notes,https://share.ecoprop.com/REGENT-HEIGHTS/R065963D
REGENT PARK,,,1156,0,some notes,https://share.ecoprop.com/REGENT-PARK/R065963D
RIDGEWOOD,,,0,1609,some notes,https://share.ecoprop.com/RIDGEWOOD/R065963D
RIO VISTA,,,0,1076,some notes,https://share.ecoprop.com/RIO-VISTA/R065963D
RIPPLE BAY,,,1444,1206,some notes,https://share.ecoprop.com/RIPPLE-BAY/R065963D
RIVER ISLES,,,0,1224,some notes,https://share.ecoprop.com/RIVER-ISLES/R065963D
RIVER PLACE,,,0,1413,some notes,https://share.ecoprop.com/RIVER-PLACE/R065963D
RIVERBANK @ FERNVALE,,,1605,1293,some notes,https://share.ecoprop.com/RIVERBANK-FERNVALE/R065963D
RIVERSAILS,,,1304,1324,some notes,https://share.ecoprop.com/RIVERSAILS/R065963D
RIVERSOUND RESIDENCE,,,1244,1267,some notes,https://share.ecoprop.com/RIVERSOUND-RESIDENCE/R065963D
ROSEWOOD,,,0,936,some notes,https://share.ecoprop.com/ROSEWOOD/R065963D
ROYALGREEN,,,2714,0,some notes,https://share.ecoprop.com/ROYALGREEN/R065963D
RV RESIDENCES,,,2298,0,some notes,https://share.ecoprop.com/RV-RESIDENCES/R065963D
SANCTUARY GREEN,,,1622,0,some notes,https://share.ecoprop.com/SANCTUARY-GREEN/R065963D
SANT RITZ,,,1731,1362,some notes,https://share.ecoprop.com/SANT-RITZ/R065963D
SAVANNAH CONDOPARK,,,0,1079,some notes,https://share.ecoprop.com/SAVANNAH-CONDOPARK/R065963D
SCOTTS 28,,,0,2394,some notes,https://share.ecoprop.com/SCOTTS-28/R065963D
SCULPTURA ARDMORE,,,0,5022,some notes,https://share.ecoprop.com/SCULPTURA-ARDMORE/R065963D
SEAHILL,,,1649,0,some notes,https://share.ecoprop.com/SEAHILL/R065963D
SEASCAPE,,,0,1952,some notes,https://share.ecoprop.com/SEASCAPE/R065963D
SEASONS PARK,,,0,901,some notes,https://share.ecoprop.com/SEASONS-PARK/R065963D
SEASTRAND,,,1220,0,some notes,https://share.ecoprop.com/SEASTRAND/R065963D
SELETAR PARK RESIDENCE,,,1320,1216,some notes,https://share.ecoprop.com/SELETAR-PARK-RESIDENCE/R065963D
SELETAR SPRINGS CONDOMINIUM,,,965,928,some notes,https://share.ecoprop.com/SELETAR-SPRINGS-CONDOMINIUM/R065963D
SENNETT RESIDENCE,,,1612,0,some notes,https://share.ecoprop.com/SENNETT-RESIDENCE/R065963D
SEVENTY SAINT PATRICK'S,,,2108,0,some notes,https://share.ecoprop.com/SEVENTY-SAINT-PATRICK'S/R065963D
SHELFORD REGENCY,,,0,2122,some notes,https://share.ecoprop.com/SHELFORD-REGENCY/R065963D
SIGNATURE PARK,,,0,1505,some notes,https://share.ecoprop.com/SIGNATURE-PARK/R065963D
SILVERSEA,,,0,1830,some notes,https://share.ecoprop.com/SILVERSEA/R065963D
SIMS URBAN OASIS,,,1696,1749,some notes,https://share.ecoprop.com/SIMS-URBAN-OASIS/R065963D
SKIES MILTONIA,,,1202,0,some notes,https://share.ecoprop.com/SKIES-MILTONIA/R065963D
SKY GREEN,,,1676,0,some notes,https://share.ecoprop.com/SKY-GREEN/R065963D
SKY HABITAT,,,1824,0,some notes,https://share.ecoprop.com/SKY-HABITAT/R065963D
SKY VUE,,,1969,2016,some notes,https://share.ecoprop.com/SKY-VUE/R065963D
SKYLINE RESIDENCES,,,2193,2090,some notes,https://share.ecoprop.com/SKYLINE-RESIDENCES/R065963D
SOLEIL @ SINARAN,,,1978,2154,some notes,https://share.ecoprop.com/SOLEIL-SINARAN/R065963D
SOMMERVILLE PARK,,,0,1989,some notes,https://share.ecoprop.com/SOMMERVILLE-PARK/R065963D
SOPHIA HILLS,,,2078,2046,some notes,https://share.ecoprop.com/SOPHIA-HILLS/R065963D
SPOTTISWOODE RESIDENCES,,,2539,0,some notes,https://share.ecoprop.com/SPOTTISWOODE-RESIDENCES/R065963D
SPRING GROVE,,,0,1828,some notes,https://share.ecoprop.com/SPRING-GROVE/R065963D
STRATFORD COURT,,,1071,1004,some notes,https://share.ecoprop.com/STRATFORD-COURT/R065963D
STRATUM,,,1264,0,some notes,https://share.ecoprop.com/STRATUM/R065963D
STURDEE RESIDENCES,,,2072,1858,some notes,https://share.ecoprop.com/STURDEE-RESIDENCES/R065963D
SUNHAVEN,,,0,1209,some notes,https://share.ecoprop.com/SUNHAVEN/R065963D
SUNNY PALMS,,,0,1043,some notes,https://share.ecoprop.com/SUNNY-PALMS/R065963D
